"Date","Price","Open","High","Low","Vol.","Change %"
"04/06/2026","0.0313","0.0310","0.0317","0.0309","21.01M","1.60%"
"04/05/2026","0.0308","0.0319","0.0327","0.0303","29.51M","-3.43%"
"04/04/2026","0.0319","0.0303","0.0326","0.0300","58.09M","5.64%"
"04/03/2026","0.0302","0.0296","0.0304","0.0292","32.72M","2.37%"
"04/02/2026","0.0295","0.0296","0.0305","0.0287","64.04M","-0.34%"
"04/01/2026","0.0296","0.0300","0.0303","0.0291","39.26M","-1.32%"
"03/31/2026","0.0300","0.0287","0.0303","0.0285","55.34M","4.88%"
"03/30/2026","0.0286","0.0285","0.0294","0.0285","46.12M","0.35%"
"03/29/2026","0.0285","0.0295","0.0304","0.0281","47.25M","-3.68%"
"03/28/2026","0.0296","0.0305","0.0308","0.0293","36.92M","-3.28%"
"03/27/2026","0.0306","0.0319","0.0329","0.0296","61.03M","-4.07%"
"03/26/2026","0.0319","0.0323","0.0330","0.0310","46.43M","-1.26%"
"03/25/2026","0.0323","0.0319","0.0328","0.0315","46.56M","1.25%"
"03/24/2026","0.0319","0.0347","0.0351","0.0314","95.06M","-8.07%"
"03/23/2026","0.0347","0.0315","0.0355","0.0314","167.73M","10.16%"
"03/22/2026","0.0315","0.0290","0.0319","0.0286","98.31M","7.88%"
"03/21/2026","0.0292","0.0305","0.0311","0.0290","53.44M","-4.30%"
"03/20/2026","0.0305","0.0318","0.0329","0.0302","55.53M","-4.32%"
"03/19/2026","0.0319","0.0310","0.0335","0.0308","115.03M","2.90%"
"03/18/2026","0.0310","0.0345","0.0358","0.0297","197.58M","-10.19%"
"03/17/2026","0.0345","0.0390","0.0391","0.0341","164.02M","-11.52%"
"03/16/2026","0.0390","0.0405","0.0407","0.0370","278.75M","-3.70%"
"03/15/2026","0.0405","0.0446","0.0476","0.0399","159.91M","-9.80%"
"03/14/2026","0.0449","0.0505","0.0506","0.0438","129.15M","-10.59%"
"03/13/2026","0.0502","0.0530","0.0542","0.0499","79.84M","-5.59%"
"03/12/2026","0.0532","0.0572","0.0580","0.0528","141.26M","-6.84%"
"03/11/2026","0.0571","0.0651","0.0692","0.0560","169.11M","-12.56%"
"03/10/2026","0.0653","0.0503","0.0746","0.0501","408.74M","26.48%"
"03/09/2026","0.0516","0.0394","0.0532","0.0394","170.81M","31.04%"
"03/08/2026","0.0394","0.0417","0.0446","0.0394","62.62M","-5.54%"
"03/07/2026","0.0417","0.0451","0.0454","0.0392","109.49M","-8.14%"
"03/06/2026","0.0454","0.0342","0.0456","0.0341","237.40M","32.49%"
"03/05/2026","0.0343","0.0346","0.0352","0.0334","13.88M","-1.31%"
"03/04/2026","0.0347","0.0352","0.0356","0.0341","18.09M","-1.09%"
"03/03/2026","0.0351","0.0352","0.0362","0.0344","15.69M","-0.30%"
"03/02/2026","0.0352","0.0356","0.0365","0.0348","15.80M","-1.09%"
"03/01/2026","0.0356","0.0387","0.0393","0.0356","13.54M","-8.25%"
"02/28/2026","0.0388","0.0383","0.0390","0.0366","16.44M","1.04%"
"02/27/2026","0.0384","0.0365","0.0443","0.0363","56.98M","5.18%"
"02/26/2026","0.0365","0.0371","0.0373","0.0355","10.57M","-1.32%"
"02/25/2026","0.0370","0.0347","0.0381","0.0347","16.35M","6.89%"
"02/24/2026","0.0346","0.0349","0.0375","0.0344","24.09M","-0.81%"
"02/23/2026","0.0349","0.0368","0.0368","0.0339","20.61M","-5.36%"
"02/22/2026","0.0369","0.0381","0.0392","0.0368","16.70M","-3.96%"
"02/21/2026","0.0384","0.0384","0.0395","0.0378","13.75M","0.26%"
"02/20/2026","0.0383","0.0357","0.0394","0.0354","25.23M","7.25%"
"02/19/2026","0.0357","0.0370","0.0372","0.0348","17.15M","-3.23%"
"02/18/2026","0.0369","0.0390","0.0396","0.0369","14.79M","-5.45%"
"02/17/2026","0.0390","0.0404","0.0405","0.0388","14.91M","-3.43%"
"02/16/2026","0.0404","0.0422","0.0425","0.0402","8.36M","-4.23%"
"02/15/2026","0.0422","0.0443","0.0452","0.0413","10.48M","-4.78%"
"02/14/2026","0.0443","0.0440","0.0462","0.0432","15.11M","0.52%"
"02/13/2026","0.0441","0.0394","0.0444","0.0383","78.66M","10.97%"
"02/12/2026","0.0397","0.0496","0.0497","0.0396","41.83M","-19.93%"
"02/11/2026","0.0496","0.0474","0.0508","0.0464","13.72M","3.87%"
"02/10/2026","0.0478","0.0471","0.0483","0.0458","11.78M","0.00%"
"02/09/2026","0.0477","0.0457","0.0520","0.0454","40.00M","4.93%"
"02/08/2026","0.0455","0.0462","0.0465","0.0439","27.86M","-1.51%"
"02/07/2026","0.0462","0.0483","0.0492","0.0447","27.50M","-5.26%"
"02/06/2026","0.0488","0.0403","0.0521","0.0360","108.01M","21.38%"
"02/05/2026","0.0402","0.0470","0.0478","0.0394","30.63M","-14.76%"
"02/04/2026","0.0471","0.0486","0.0506","0.0459","24.43M","-2.96%"
"02/03/2026","0.0486","0.0525","0.0549","0.0468","25.21M","-7.64%"
"02/02/2026","0.0526","0.0506","0.0551","0.0494","38.56M","3.82%"
"02/01/2026","0.0506","0.0545","0.0557","0.0501","20.37M","-7.48%"
"01/31/2026","0.0547","0.0585","0.0615","0.0518","35.70M","-6.33%"
"01/30/2026","0.0584","0.0555","0.0664","0.0533","178.42M","5.40%"
"01/29/2026","0.0555","0.0611","0.0611","0.0543","120.56M","-9.81%"
"01/28/2026","0.0615","0.0662","0.0675","0.0605","72.58M","-5.89%"
"01/27/2026","0.0653","0.0648","0.0663","0.0621","6.67M","-0.47%"
"01/26/2026","0.0656","0.0628","0.0657","0.0615","6.88M","4.55%"
"01/25/2026","0.0628","0.0728","0.0728","0.0609","16.84M","-13.70%"
"01/24/2026","0.0727","0.0727","0.0738","0.0700","5.23M","-0.53%"
"01/23/2026","0.0731","0.0723","0.0790","0.0700","21.96M","1.19%"
"01/22/2026","0.0723","0.0725","0.0736","0.0704","10.01M","-2.63%"
"01/21/2026","0.0742","0.0727","0.0774","0.0714","12.50M","2.04%"
"01/20/2026","0.0727","0.0795","0.0795","0.0717","20.46M","-8.46%"
"01/19/2026","0.0795","0.0742","0.0825","0.0723","41.27M","-4.79%"
"01/18/2026","0.0835","0.0887","0.0888","0.0835","11.57M","-4.97%"
"01/17/2026","0.0878","0.0876","0.0905","0.0864","15.48M","-0.76%"
"01/16/2026","0.0885","0.0875","0.0935","0.0866","23.43M","0.73%"
"01/15/2026","0.0879","0.0901","0.0917","0.0864","24.54M","-1.56%"
"01/14/2026","0.0893","0.0893","0.0931","0.0857","36.71M","0.82%"
"01/13/2026","0.0885","0.0851","0.0905","0.0804","55.33M","4.54%"
"01/12/2026","0.0847","0.0842","0.0879","0.0829","40.41M","0.15%"
"01/11/2026","0.0846","0.0889","0.0895","0.0843","15.88M","-4.32%"
"01/10/2026","0.0884","0.0882","0.0907","0.0871","30.75M","-0.17%"
"01/09/2026","0.0885","0.0911","0.0919","0.0872","37.20M","-2.86%"
"01/08/2026","0.0912","0.0871","0.0923","0.0840","64.88M","4.65%"
"01/07/2026","0.0871","0.0877","0.0967","0.0846","89.04M","-0.70%"
"01/06/2026","0.0877","0.0853","0.0917","0.0815","60.15M","1.78%"
"01/05/2026","0.0862","0.0832","0.0869","0.0800","77.84M","2.32%"
"01/04/2026","0.0842","0.0863","0.0884","0.0826","76.74M","-3.11%"
"01/03/2026","0.0869","0.0822","0.0948","0.0793","145.95M","4.25%"
"01/02/2026","0.0834","0.0819","0.0844","0.0738","112.82M","1.83%"
"01/01/2026","0.0819","0.0826","0.0852","0.0806","61.60M","-0.13%"
"12/31/2025","0.0820","0.0875","0.0887","0.0786","125.42M","-5.17%"
"12/30/2025","0.0865","0.0919","0.0933","0.0828","153.11M","-5.21%"
"12/29/2025","0.0912","0.0966","0.1024","0.0912","245.13M","-5.80%"
"12/28/2025","0.0968","0.1102","0.1161","0.0961","364.20M","-11.65%"
"12/27/2025","0.1096","0.1728","0.1739","0.0820","751.09M","-36.57%"
"12/26/2025","0.1728","0.1709","0.1759","0.1701","5.81M","1.08%"
"12/25/2025","0.1710","0.1717","0.1737","0.1704","6.02M","-0.46%"
"12/24/2025","0.1718","0.1689","0.1724","0.1671","4.47M","1.70%"
"12/23/2025","0.1689","0.1701","0.1718","0.1654","7.73M","-0.70%"
"12/22/2025","0.1701","0.1729","0.1757","0.1679","13.24M","-1.65%"
"12/21/2025","0.1729","0.1766","0.1769","0.1696","7.74M","-2.13%"
"12/20/2025","0.1767","0.1769","0.1779","0.1742","5.36M","-0.11%"
"12/19/2025","0.1769","0.1716","0.1789","0.1694","12.48M","3.09%"
"12/18/2025","0.1716","0.1768","0.1808","0.1683","11.79M","-2.76%"
"12/17/2025","0.1765","0.1880","0.1891","0.1746","14.85M","-6.16%"
"12/16/2025","0.1880","0.1870","0.1906","0.1848","9.02M","0.53%"
"12/15/2025","0.1871","0.1897","0.1948","0.1813","9.57M","-1.35%"
"12/14/2025","0.1896","0.1979","0.1980","0.1880","8.40M","-4.16%"
"12/13/2025","0.1978","0.1970","0.1980","0.1950","3.70M","0.47%"
"12/12/2025","0.1969","0.2081","0.2101","0.1942","10.84M","-5.39%"
"12/11/2025","0.2081","0.2161","0.2161","0.2051","12.22M","-4.02%"
"12/10/2025","0.2168","0.2223","0.2260","0.2153","13.38M","-2.43%"
"12/09/2025","0.2222","0.2117","0.2268","0.2087","13.44M","4.97%"
"12/08/2025","0.2117","0.2137","0.2182","0.2087","11.02M","-0.96%"
"12/07/2025","0.2138","0.2188","0.2250","0.2129","15.53M","-2.30%"
"12/06/2025","0.2188","0.2188","0.2211","0.2157","3.65M","-0.16%"
"12/05/2025","0.2191","0.2279","0.2292","0.2151","10.13M","-3.85%"
"12/04/2025","0.2279","0.2344","0.2358","0.2237","6.78M","-2.75%"
"12/03/2025","0.2344","0.2269","0.2369","0.2253","10.99M","3.40%"
"12/02/2025","0.2267","0.2162","0.2286","0.2120","8.44M","4.89%"
"12/01/2025","0.2161","0.2280","0.2280","0.2120","11.16M","-5.19%"
"11/30/2025","0.2279","0.2301","0.2348","0.2278","3.36M","-0.99%"
"11/29/2025","0.2302","0.2341","0.2359","0.2293","3.01M","-1.75%"
"11/28/2025","0.2343","0.2358","0.2398","0.2328","5.00M","-0.67%"
"11/27/2025","0.2359","0.2359","0.2381","0.2321","3.61M","0.03%"
"11/26/2025","0.2358","0.2341","0.2421","0.2289","14.49M","1.11%"
"11/25/2025","0.2332","0.2340","0.2349","0.2231","10.33M","-0.31%"
"11/24/2025","0.2340","0.2336","0.2368","0.2272","13.53M","-0.07%"
"11/23/2025","0.2341","0.2378","0.2390","0.2337","6.07M","-1.33%"
"11/22/2025","0.2373","0.2383","0.2396","0.2325","8.29M","-0.42%"
"11/21/2025","0.2383","0.2562","0.2588","0.2325","27.60M","-6.89%"
"11/20/2025","0.2559","0.2598","0.2790","0.2502","20.93M","-1.52%"
"11/19/2025","0.2599","0.2633","0.2646","0.2511","13.39M","-1.17%"
"11/18/2025","0.2629","0.2529","0.2657","0.2496","11.46M","3.97%"
"11/17/2025","0.2529","0.2570","0.2614","0.2493","13.08M","-1.57%"
"11/16/2025","0.2569","0.2638","0.2666","0.2512","9.37M","-2.59%"
"11/15/2025","0.2638","0.2575","0.2662","0.2571","4.25M","2.78%"
"11/14/2025","0.2566","0.2633","0.2667","0.2512","12.57M","-2.89%"
"11/13/2025","0.2643","0.2682","0.2801","0.2573","13.76M","-1.35%"
"11/12/2025","0.2679","0.2757","0.2846","0.2664","12.76M","-2.62%"
"11/11/2025","0.2751","0.2844","0.2905","0.2750","15.09M","-3.28%"
"11/10/2025","0.2844","0.2807","0.2888","0.2781","13.71M","1.26%"
"11/09/2025","0.2809","0.2845","0.2847","0.2689","17.37M","-1.50%"
"11/08/2025","0.2852","0.2797","0.3011","0.2749","30.79M","2.38%"
"11/07/2025","0.2785","0.2385","0.2873","0.2385","27.43M","16.81%"
"11/06/2025","0.2384","0.2414","0.2429","0.2309","10.52M","-1.26%"
"11/05/2025","0.2415","0.2346","0.2472","0.2245","10.00M","2.84%"
"11/04/2025","0.2348","0.2434","0.2468","0.2232","21.21M","-3.54%"
"11/03/2025","0.2434","0.2676","0.2685","0.2350","19.36M","-9.29%"
"11/02/2025","0.2684","0.2667","0.2717","0.2600","4.56M","0.65%"
"11/01/2025","0.2666","0.2599","0.2686","0.2575","4.49M","2.51%"
"10/31/2025","0.2601","0.2589","0.2659","0.2563","5.09M","0.46%"
"10/30/2025","0.2589","0.2686","0.2723","0.2509","14.12M","-3.62%"
"10/29/2025","0.2686","0.2689","0.2783","0.2653","8.59M","-0.22%"
"10/28/2025","0.2692","0.2735","0.2796","0.2619","9.73M","-1.50%"
"10/27/2025","0.2733","0.2818","0.2839","0.2719","7.30M","-2.97%"
"10/26/2025","0.2817","0.2714","0.2842","0.2689","5.01M","4.09%"
"10/25/2025","0.2706","0.2756","0.2766","0.2703","2.35M","-1.80%"
"10/24/2025","0.2756","0.2737","0.2797","0.2688","6.07M","0.66%"
"10/23/2025","0.2738","0.2693","0.2772","0.2674","6.71M","1.65%"
"10/22/2025","0.2693","0.2693","0.2752","0.2617","9.75M","-0.13%"
"10/21/2025","0.2697","0.2767","0.2864","0.2662","10.99M","-2.57%"
"10/20/2025","0.2768","0.2759","0.2827","0.2718","7.24M","0.35%"
"10/19/2025","0.2759","0.2693","0.2805","0.2658","5.96M","2.30%"
"10/18/2025","0.2697","0.2683","0.2748","0.2650","5.31M","0.35%"
"10/17/2025","0.2687","0.2745","0.2767","0.2582","14.42M","-2.09%"
"10/16/2025","0.2745","0.2845","0.2908","0.2707","13.55M","-3.56%"
"10/15/2025","0.2846","0.2993","0.3048","0.2801","11.18M","-4.90%"
"10/14/2025","0.2993","0.3062","0.3071","0.2811","14.47M","-2.26%"
"10/13/2025","0.3062","0.2918","0.3077","0.2892","12.51M","4.46%"
"10/12/2025","0.2931","0.2693","0.2988","0.2669","9.20M","8.57%"
"10/11/2025","0.2700","0.2547","0.2864","0.2506","37.61M","5.66%"
"10/10/2025","0.2555","0.3589","0.3666","0.1183","41.92M","-28.81%"
"10/09/2025","0.3589","0.3713","0.3714","0.3516","8.87M","-3.26%"
"10/08/2025","0.3710","0.3579","0.3733","0.3546","11.38M","3.71%"
"10/07/2025","0.3578","0.3793","0.3812","0.3574","6.96M","-5.76%"
"10/06/2025","0.3796","0.3703","0.3842","0.3688","6.62M","2.34%"
"10/05/2025","0.3709","0.3726","0.3848","0.3689","6.07M","-0.45%"
"10/04/2025","0.3726","0.3831","0.3848","0.3669","5.44M","-2.73%"
"10/03/2025","0.3831","0.3795","0.3873","0.3719","8.70M","0.99%"
"10/02/2025","0.3793","0.3725","0.3826","0.3699","7.49M","1.94%"
"10/01/2025","0.3721","0.3493","0.3721","0.3474","6.23M","6.39%"
"09/30/2025","0.3497","0.3530","0.3567","0.3404","4.88M","-1.06%"
"09/29/2025","0.3535","0.3547","0.3589","0.3457","6.24M","-0.45%"
"09/28/2025","0.3551","0.3483","0.3557","0.3408","9.40M","1.93%"
"09/27/2025","0.3483","0.3538","0.3549","0.3461","5.29M","-1.52%"
"09/26/2025","0.3537","0.3395","0.3539","0.3363","8.38M","4.51%"
"09/25/2025","0.3385","0.3582","0.3583","0.3365","10.44M","-5.52%"
"09/24/2025","0.3582","0.3569","0.3649","0.3509","5.91M","0.25%"
"09/23/2025","0.3574","0.3617","0.3626","0.3520","5.28M","-1.22%"
"09/22/2025","0.3618","0.3889","0.3897","0.3491","9.72M","-7.14%"
"09/21/2025","0.3896","0.3963","0.4005","0.3893","4.15M","-1.70%"
"09/20/2025","0.3963","0.3984","0.4023","0.3945","2.87M","-0.62%"
"09/19/2025","0.3988","0.4191","0.4248","0.3955","7.89M","-4.64%"
"09/18/2025","0.4182","0.4106","0.4371","0.4079","6.23M","1.94%"
"09/17/2025","0.4103","0.4036","0.4127","0.3930","7.11M","1.70%"
"09/16/2025","0.4034","0.3991","0.4056","0.3933","5.96M","0.86%"
"09/15/2025","0.4000","0.4167","0.4207","0.3930","8.34M","-3.98%"
"09/14/2025","0.4166","0.4337","0.4344","0.4126","7.74M","-3.94%"
"09/13/2025","0.4336","0.4223","0.4346","0.4204","9.41M","2.68%"
"09/12/2025","0.4223","0.4141","0.4246","0.4070","7.63M","1.98%"
"09/11/2025","0.4141","0.4128","0.4179","0.4076","8.18M","0.20%"
"09/10/2025","0.4133","0.4037","0.4177","0.4008","8.26M","2.38%"
"09/09/2025","0.4037","0.4054","0.4156","0.4012","9.34M","-0.22%"
"09/08/2025","0.4046","0.3982","0.4071","0.3947","6.93M","1.48%"
"09/07/2025","0.3987","0.3991","0.4062","0.3932","4.30M","-0.02%"
"09/06/2025","0.3988","0.4023","0.4033","0.3953","4.14M","-0.87%"
"09/05/2025","0.4023","0.3963","0.4105","0.3951","8.55M","1.43%"
"09/04/2025","0.3966","0.4135","0.4158","0.3928","7.65M","-4.37%"
"09/03/2025","0.4147","0.4039","0.4184","0.4001","10.36M","2.66%"
"09/02/2025","0.4040","0.3959","0.4148","0.3943","12.40M","1.91%"
"09/01/2025","0.3964","0.4226","0.4398","0.3912","31.62M","-6.38%"
"08/31/2025","0.4234","0.3974","0.4532","0.3970","73.55M","6.45%"
"08/30/2025","0.3978","0.3990","0.4009","0.3871","11.65M","-0.47%"
"08/29/2025","0.3996","0.4375","0.4384","0.3911","48.26M","-8.95%"
"08/28/2025","0.4389","0.3883","0.4397","0.3864","42.96M","12.96%"
"08/27/2025","0.3886","0.3876","0.3958","0.3824","17.10M","0.48%"
"08/26/2025","0.3867","0.3718","0.3895","0.3687","15.46M","3.85%"
"08/25/2025","0.3724","0.4049","0.4126","0.3660","24.35M","-8.03%"
"08/24/2025","0.4049","0.4085","0.4194","0.3922","21.60M","-0.83%"
"08/23/2025","0.4083","0.4129","0.4141","0.4001","19.73M","-0.98%"
"08/22/2025","0.4123","0.3731","0.4149","0.3604","28.66M","10.53%"
"08/21/2025","0.3730","0.3805","0.3834","0.3698","14.44M","-1.74%"
"08/20/2025","0.3797","0.3661","0.3822","0.3641","17.32M","3.80%"
"08/19/2025","0.3658","0.3807","0.3875","0.3650","21.87M","-4.06%"
"08/18/2025","0.3812","0.3979","0.3990","0.3754","26.04M","-4.34%"
"08/17/2025","0.3985","0.3958","0.4085","0.3935","14.37M","0.88%"
"08/16/2025","0.3951","0.3827","0.3978","0.3826","14.71M","3.13%"
"08/15/2025","0.3831","0.3860","0.3968","0.3728","20.85M","-0.95%"
